trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.83656644285435,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-67.97632792952113,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-101.30755568580949,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-117.66125561320315,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-66.49691709394784,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-101.34574498168445,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,7,-31.96959688443251,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-27.2078387648775,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-17.284430405420235,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,-32.324629050982956,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-46.875485846512426,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-21.331740012755805,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,13,-45.03150523114313,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-77.00797559692866,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,7.897722110453627,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,8,-25.626341673701003,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,18.76094295242028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,16,20.975254543906345,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,20.698941838531468,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,2,1.5334018160198215,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,12,17.39146262423154,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,19.53866527151772,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,10,10.53525438949301,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,6.639533746855237,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,17.96647154713137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,18.624012622358627,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,19.459767049523855,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,21,-33.809710742606875,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,33.447932366442686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,27.36892696756657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
