trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9998000066665778}",30,0,-131.1260947029887,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.02, 'e': 0.9992001066609779}",25,0,-108.97291319470227,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9982005399352042}",25,0,-197.94924444903475,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.02, 'e': 0.9968017063026194}",30,0,-49.24671041352819,"{0: 19, 1: 8, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9950041652780257}",25,0,-7.217695771582942,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9928086358538663}",30,0,-154.4833652146447,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.02, 'e': 0.9902159962126371}",25,0,-32.69327364886204,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.9872272833756269}",25,0,-95.00465252798675,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.9838436927881214}",30,0,-159.50889813314774,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.9800665778412416}",20,0,-93.94352228990712,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.9758974493306055}",35,8,-157.28873078943647,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 3}",1
12,False,"{'a': 0.02, 'e': 0.9713379748520297}",25,0,-61.20421846208505,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.02, 'e': 0.9663899781345132}",20,0,-66.05117246899633,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.9610554383107709}",20,0,-50.53845335934228,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.955336489125606}",20,0,-122.86144721918944,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.02, 'e': 0.9492354180824408}",20,0,-81.95977965727022,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.9427546655283462}",25,18,-5.5977486071509555,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.02, 'e': 0.9358968236779348}",25,0,-123.69498768802477,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.9286646355765102}",20,0,-75.18710833979002,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.02, 'e': 0.9210609940028851}",30,0,-114.25066295576501,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.02, 'e': 0.9130889403123083}",20,0,-77.47857060875518,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.02, 'e': 0.9047516632199635}",25,0,-108.94909361747436,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.02, 'e': 0.8960524975255253}",20,0,-53.96774715752293,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.02, 'e': 0.8869949227792842}",20,0,-37.38104907077538,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.02, 'e': 0.8775825618903728}",25,3,-51.94213741640168,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.02, 'e': 0.8678191796776499}",30,0,-92.48060498264562,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.8577086813638242}",20,0,-93.26646829933819,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.02, 'e': 0.8472551110134161}",25,0,-111.59824564381873,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.02, 'e': 0.8364626499151869}",25,0,-22.173501019515626,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.8253356149096783}",25,0,-49.20724529215509,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.02, 'e': 0.8138784566625339}",20,0,-50.179557890289395,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.02, 'e': 0.8020957578842927}",20,0,-116.48828512819378,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.02, 'e': 0.7899922314973651}",20,0,-20.82290216906157,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.02, 'e': 0.7775727187509279}",20,10,6.649441887566644,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.02, 'e': 0.7648421872844884}",20,0,-123.53827773085777,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
36,False,"{'a': 0.02, 'e': 0.751805729140895}",25,11,-45.77465623121561,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
