trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9998000066665778}",25,0,-125.6707252350445,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.02, 'e': 0.9992001066609779}",25,0,-198.01091342499575,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.02, 'e': 0.9982005399352042}",20,0,-158.51963927945394,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9968017063026194}",30,0,-122.10914418420019,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.02, 'e': 0.9950041652780257}",30,0,-163.4799858006667,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.02, 'e': 0.9928086358538663}",25,0,-54.24032095410675,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.9902159962126371}",20,0,-131.60246643046267,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.02, 'e': 0.9872272833756269}",20,0,-88.45117845955849,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.9838436927881214}",25,0,-77.7898038713721,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.9800665778412416}",30,0,-116.22947452586288,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.02, 'e': 0.9758974493306055}",20,0,-125.73111953176297,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.02, 'e': 0.9713379748520297}",30,0,-153.63513152278702,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.02, 'e': 0.9663899781345132}",25,0,-167.72965812546846,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.9610554383107709}",20,0,-48.12869798169599,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.02, 'e': 0.955336489125606}",35,0,-168.6617863639869,"{0: 19, 1: 6, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.02, 'e': 0.9492354180824408}",20,0,-86.01126336737143,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.9427546655283462}",20,0,-32.052461095674246,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.02, 'e': 0.9358968236779348}",20,0,-99.28275961539525,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.9286646355765102}",25,0,-117.53530381138108,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.02, 'e': 0.9210609940028851}",20,0,-101.58936700193507,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-79.05126982113673,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-219.0730314245698,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-116.97148430897022,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-130.01801677857307,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-225.58209722648706,"{0: 9, 1: 3, 2: 10, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-239.29384655072113,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",25,0,-113.48795835530242,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-150.80212020952115,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-189.23595909832073,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-133.58276596206207,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,True,"{'a': 0, 'e': 0}",35,0,-115.50670220869614,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-84.89438160022388,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-73.00423141860743,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",30,0,-187.76096258470426,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,2,-20.035511306730122,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,0,-134.12526719495838,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,True,"{'a': 0, 'e': 0}",20,0,-118.62429820415579,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",20,0,-113.86251354730868,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",25,0,-183.9225327642934,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",35,0,-184.72672839112747,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
